Актуално състояние на данните, декларирани с Декларация обр.№6 за период  от 01.01.2018 г. до 31.12.2018 г.
"Номер на протокол";"Дата";"Месец";"Година";"Дата на изплащане";"Вид плащане";"Дължими вноски за ДОО";"Дължими вноски за УчПФ";"Дължими вноски за ДЗПО-УПФ";"Дължими вноски за ДЗПО-ППФ";"Дължими вноски за ЗО";"Дължими вноски за фонд ГВРС";"Ав.удържан данък по чл.42 и чл.49, ал.5 от ЗДДФЛ";"Ав.удържан данък по чл.42 ал.6 от ЗДДФЛ";"Код корекция"
"22000183220347";"21.02.2018";"01";"2018";"31.01.2018";"8";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"7716.12";"0.00";"0"
"22000183220347";"21.02.2018";"01";"2018";"28.02.2018";"5";"10220.99";"0.00";"1895.70";"0.00";"3919.63";"0.00";"0.00";"0.00";"0"
"22000183390215";"20.03.2018";"01";"2018";"20.03.2018";"6";"57.65";"0.00";"4.96";"0.00";"20.04";"0.00";"0.00";"0.00";"0"
"22000183390200";"20.03.2018";"02";"2018";"28.02.2018";"8";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"6832.17";"0.00";"0"
"22000183390200";"20.03.2018";"02";"2018";"31.03.2018";"5";"9406.25";"0.00";"1772.54";"0.00";"3615.17";"0.00";"0.00";"0.00";"0"
"22000183583710";"25.04.2018";"03";"2018";"31.03.2018";"8";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"6785.68";"0.00";"0"
"22000183583710";"25.04.2018";"03";"2018";"30.04.2018";"5";"9473.58";"0.00";"1783.53";"0.00";"3633.75";"0.00";"0.00";"0.00";"0"
"22000183737878";"25.05.2018";"04";"2018";"31.05.2018";"5";"9671.60";"0.00";"1815.64";"0.00";"3696.51";"0.00";"0.00";"0.00";"0"
"22000183737878";"25.05.2018";"04";"2018";"30.04.2018";"8";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"7439.80";"0.00";"0"
"22000183815433";"20.06.2018";"05";"2018";"30.06.2018";"5";"9687.77";"0.00";"1861.27";"0.00";"3736.07";"0.00";"0.00";"0.00";"0"
"22000183815433";"20.06.2018";"05";"2018";"31.05.2018";"8";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"7449.37";"0.00";"0"
"22000183989643";"25.07.2018";"06";"2018";"31.07.2018";"5";"10017.80";"0.00";"1838.04";"0.00";"3838.56";"0.00";"0.00";"0.00";"0"
"22000183989643";"25.07.2018";"06";"2018";"30.06.2018";"8";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"8166.53";"0.00";"0"
"22000184104920";"24.08.2018";"07";"2018";"31.08.2018";"5";"9295.62";"0.00";"1917.84";"0.00";"3609.45";"0.00";"0.00";"0.00";"0"
"22000184104920";"24.08.2018";"07";"2018";"31.07.2018";"8";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"7891.39";"0.00";"0"
"22000184237384";"25.09.2018";"08";"2018";"30.09.2018";"5";"9568.21";"0.00";"1894.60";"0.00";"3683.00";"0.00";"0.00";"0.00";"0"
"22000184237384";"25.09.2018";"08";"2018";"31.08.2018";"8";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"7805.60";"0.00";"0"
"22000184367398";"25.10.2018";"09";"2018";"30.09.2018";"8";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"8063.65";"0.00";"0"
"22000184367398";"25.10.2018";"09";"2018";"31.10.2018";"5";"9778.49";"0.00";"1960.09";"0.00";"3774.03";"0.00";"0.00";"0.00";"0"
"22000184499633";"26.11.2018";"10";"2018";"31.10.2018";"8";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"8137.98";"0.00";"0"
"22000184499633";"26.11.2018";"10";"2018";"30.11.2018";"5";"9301.89";"0.00";"1889.32";"0.00";"3603.54";"0.00";"0.00";"0.00";"0"
"22000184629911";"27.12.2018";"11";"2018";"30.11.2018";"8";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"7970.83";"0.00";"0"
"22000184629911";"27.12.2018";"11";"2018";"31.12.2018";"5";"9344.34";"0.00";"1813.44";"0.00";"3581.62";"0.00";"0.00";"0.00";"0"
"";"";"";"";"";"";"105824.19";"0.00";"20446.97";"0.00";"40711.37";"0.00";"84259.12";"0.00";""